code_departement;nom_departement;annee_semaine;population_totale;population_plus_65_ans;pct_plus_65_ans;densite_population;couv_vacc_grippe_an_passe;cas_urgences_semaine;cas_sos_medecins_semaine;total_cas_semaine;tendance_evolution_cas
08;Ardennes;2021-S01;270000;56700;0.21;52;0.611;175.28483786;0.0;175.28483786;0.0
08;Ardennes;2021-S02;270000;56700;0.21;52;0.611;86.58008658;0.0;86.58008658;-0.5060606060568028
08;Ardennes;2021-S03;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2021-S04;270000;56700;0.21;52;0.611;85.324232082;0.0;85.324232082;0.0
08;Ardennes;2021-S05;270000;56700;0.21;52;0.611;165.15276631;0.0;165.15276631;0.9355904211511872
08;Ardennes;2021-S06;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2021-S07;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S08;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S09;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S10;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S11;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S12;270000;56700;0.21;52;0.611;71.022727273;0.0;71.022727273;0.0
08;Ardennes;2021-S13;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2021-S14;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S15;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S16;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S17;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S18;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S19;270000;56700;0.21;52;0.611;69.3000693;0.0;69.3000693;0.0
08;Ardennes;2021-S20;270000;56700;0.21;52;0.611;201.88425303;0.0;201.88425303;1.9131897712258132
08;Ardennes;2021-S21;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2021-S22;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S23;270000;56700;0.21;52;0.611;57.306590258;0.0;57.306590258;0.0
08;Ardennes;2021-S24;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2021-S25;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S26;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S27;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S28;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S29;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S30;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S31;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S32;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S33;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S34;270000;56700;0.21;52;0.611;66.225165563;0.0;66.225165563;0.0
08;Ardennes;2021-S35;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2021-S36;270000;56700;0.21;52;0.611;58.309037901;0.0;58.309037901;0.0
08;Ardennes;2021-S37;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2021-S38;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S39;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S40;270000;56700;0.21;52;0.611;57.53739931;0.0;57.53739931;0.0
08;Ardennes;2021-S41;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2021-S42;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S43;270000;56700;0.21;52;0.611;0.0;0.0;0.0;0.0
08;Ardennes;2021-S44;270000;56700;0.21;52;0.611;63.131313131;0.0;63.131313131;0.0
08;Ardennes;2021-S45;270000;56700;0.21;52;0.611;61.012812691;0.0;61.012812691;-0.03355704696976641
08;Ardennes;2021-S46;270000;56700;0.21;52;0.611;179.21146953;0.0;179.21146953;1.9372759855805743
08;Ardennes;2021-S47;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2021-S48;270000;56700;0.21;52;0.611;181.92844148;0.0;181.92844148;0.0
08;Ardennes;2021-S49;270000;56700;0.21;52;0.611;126.10340479;0.0;126.10340479;-0.3068516183388348
08;Ardennes;2021-S50;270000;56700;0.21;52;0.611;61.012812691;0.0;61.012812691;-0.5161683953529673
08;Ardennes;2021-S51;270000;56700;0.21;52;0.611;328.5151117;0.0;328.5151117;4.384362680733439
08;Ardennes;2021-S52;270000;56700;0.21;52;0.611;68.870523416;0.0;68.870523416;-0.7903581267247987
08;Ardennes;2022-S01;270000;56700;0.21;52;0.611;223.54694486;0.0;223.54694486;2.2459016393661613
08;Ardennes;2022-S02;270000;56700;0.21;52;0.611;136.42564802;0.0;136.42564802;-0.3897226011948459
08;Ardennes;2022-S03;270000;56700;0.21;52;0.611;208.76826722;0.0;208.76826722;0.5302713987431056
08;Ardennes;2022-S04;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2022-S05;270000;56700;0.21;52;0.611;66.269052353;0.0;66.269052353;0.0
08;Ardennes;2022-S06;270000;56700;0.21;52;0.611;141.14326041;0.0;141.14326041;1.1298517995724808
08;Ardennes;2022-S07;270000;56700;0.21;52;0.611;141.14326041;0.0;141.14326041;0.0
08;Ardennes;2022-S08;270000;56700;0.21;52;0.611;61.881188119;0.0;61.881188119;-0.5615717821790114
08;Ardennes;2022-S09;270000;56700;0.21;52;0.611;303.76670717;0.0;303.76670717;3.9088699878522775
08;Ardennes;2022-S10;270000;56700;0.21;52;0.611;399.77155911;0.0;399.77155911;0.3160479725853295
08;Ardennes;2022-S11;270000;56700;0.21;52;0.611;1543.5501654;0.0;1543.5501654;2.8610804851559766
08;Ardennes;2022-S12;270000;56700;0.21;52;0.611;1808.1366148;0.0;1808.1366148;0.17141422114482058
08;Ardennes;2022-S13;270000;56700;0.21;52;0.611;2054.7945205;0.0;2054.7945205;0.13641552506655213
08;Ardennes;2022-S14;270000;56700;0.21;52;0.611;2975.5579171;0.0;2975.5579171;0.4481048530224557
08;Ardennes;2022-S15;270000;56700;0.21;52;0.611;1923.0769231;0.0;1923.0769231;-0.35370879119898146
08;Ardennes;2022-S16;270000;56700;0.21;52;0.611;1213.8728324;0.0;1213.8728324;-0.3687861271595745
08;Ardennes;2022-S17;270000;56700;0.21;52;0.611;637.31170336;0.0;637.31170336;-0.4749765491497625
08;Ardennes;2022-S18;270000;56700;0.21;52;0.611;382.72279934;0.0;382.72279934;-0.39947313485343244
08;Ardennes;2022-S19;270000;56700;0.21;52;0.611;219.78021978;0.0;219.78021978;-0.42574568288325687
08;Ardennes;2022-S20;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2022-S21;270000;56700;0.21;52;0.611;117.23329426;0.0;117.23329426;0.0
08;Ardennes;2022-S22;270000;56700;0.21;52;0.611;217.62785637;0.0;217.62785637;0.8563656147659294
08;Ardennes;2022-S23;270000;56700;0.21;52;0.611;372.53858435;0.0;372.53858435;0.711814795053757
08;Ardennes;2022-S24;270000;56700;0.21;52;0.611;255.10204082;0.0;255.10204082;-0.315233236135531
08;Ardennes;2022-S25;270000;56700;0.21;52;0.611;104.22094841;0.0;104.22094841;-0.5914538822386831
08;Ardennes;2022-S26;270000;56700;0.21;52;0.611;57.471264368;0.0;57.471264368;-0.44856321838570384
08;Ardennes;2022-S27;270000;56700;0.21;52;0.611;107.81671159;0.0;107.81671159;0.8760107816599967
08;Ardennes;2022-S28;270000;56700;0.21;52;0.611;207.9002079;0.0;207.9002079;0.9282744282778028
08;Ardennes;2022-S29;270000;56700;0.21;52;0.611;163.93442623;0.0;163.93442623;-0.2114754098329114
08;Ardennes;2022-S30;270000;56700;0.21;52;0.611;58.309037901;0.0;58.309037901;-0.644314868804967
08;Ardennes;2022-S31;270000;56700;0.21;52;0.611;58.997050147;0.0;58.997050147;0.011799410018874622
08;Ardennes;2022-S32;270000;56700;0.21;52;0.611;62.30529595;0.0;62.30529595;0.056074766361318196
08;Ardennes;2022-S33;270000;56700;0.21;52;0.611;0.0;0.0;0.0;-1.0
08;Ardennes;2022-S34;270000;56700;0.21;52;0.611;120.99213551;0.0;120.99213551;0.0
